Simulation,q,S1,S2,Kick Calculated (km/s),Estimated Error (km/s),Kick from Fit (km/s),Deviation(km/s)
SXS:BBH:0193,3.4975,-0.0001,-0.0000,160.6790,3.0163,167.2011,-6.5221
SXS:BBH:0191,2.5075,-0.0000,0.0001,164.0318,9.9088,173.6572,-9.6253
SXS:BBH:0014,1.5000,-0.4995,0.0000,223.0919,7.3526,237.1810,-14.0891
SXS:BBH:0160,1.0000,0.8997,0.8997,0.0067,0.0017,0.0000,0.0067
SXS:BBH:0105,3.0000,-0.4995,0.0000,259.3401,4.6089,258.3474,0.9927
SXS:BBH:0065,8.0000,0.4996,0.0000,45.9711,8.0580,20.2836,25.6875
SXS:BBH:0114,8.0000,-0.4996,0.0000,106.2462,3.3397,98.9719,7.2743
SXS:BBH:0207,7.0000,-0.6000,-0.0000,127.4535,0.4128,121.2241,6.2294
SXS:BBH:0198,1.2025,-0.0001,0.0001,44.6889,271.6450,52.1913,-7.5025
SXS:BBH:0204,7.0000,0.3999,-0.0000,58.7176,0.8541,39.8614,18.8562
SXS:BBH:0201,2.3163,0.0001,-0.0000,158.8154,115.0058,169.8764,-11.0610
SXS:BBH:0038,3.0000,-0.4995,0.0000,256.5412,4.1045,258.3463,-1.8051
SXS:BBH:0089,1.0000,-0.4995,0.0000,118.1265,2.1853,122.4090,-4.2824
SXS:BBH:0197,5.5224,-0.0000,-0.0000,121.4492,12.2882,123.2843,-1.8351
SXS:BBH:0069,1.0000,0.0000,0.0000,0.0002,0.0001,0.0000,0.0002
SXS:BBH:0086,1.0000,0.0000,0.0000,0.0002,0.0001,0.0000,0.0002
SXS:BBH:0189,9.1673,0.0000,-0.0000,69.8108,10.9163,69.5550,0.2558
SXS:BBH:0085,1.0000,0.4995,0.0000,101.3957,2.4872,103.1741,-1.7784
SXS:BBH:0184,2.0000,0.0000,-0.0000,145.4461,7.3791,156.7067,-11.2606
SXS:BBH:0045,3.0000,0.4995,-0.4994,83.0787,9.4401,55.0036,28.0751
SXS:BBH:0047,3.0000,0.4995,0.4994,67.3672,4.9273,51.3800,15.9873
SXS:BBH:0170,1.0000,0.4365,0.4365,0.2644,0.6122,0.0000,0.2644
SXS:BBH:0071,1.0000,0.0000,0.0000,0.0003,0.0002,0.0000,0.0003
SXS:BBH:0064,8.0000,-0.4996,0.0000,106.4624,5.2828,98.9719,7.4905
SXS:BBH:0008,1.5000,0.0000,0.0000,96.8467,7.8145,107.3848,-10.5381
SXS:BBH:0107,5.0000,0.0000,0.0000,137.3636,8.1801,134.3878,2.9758
SXS:BBH:0148,1.0000,-0.4376,-0.4376,0.0018,0.0197,0.0000,0.0018
SXS:BBH:0167,4.0000,0.0000,0.0000,155.8234,2.1668,156.8931,-1.0697
SXS:BBH:0186,8.2675,0.0000,-0.0000,79.9041,0.6622,79.3909,0.5133
SXS:BBH:0063,8.0000,0.0000,0.0000,84.1486,4.7346,82.6805,1.4680
SXS:BBH:0150,1.0000,0.2000,0.2000,0.0047,0.0703,0.0000,0.0047
SXS:BBH:0202,6.9998,0.6000,-0.0000,33.9911,3.9630,11.7423,22.2488
SXS:BBH:0199,8.7288,-0.0000,-0.0000,74.4085,14.9176,74.1251,0.2834
SXS:BBH:0177,1.0000,0.9893,0.9893,0.0635,0.3217,0.0000,0.0634
SXS:BBH:0176,1.0000,0.9596,0.9596,0.0313,0.2875,0.0000,0.0313
