Name,Alt_name,q,S1x,S1y,S1z,S2x,S2y,S2z,relaxed_eccentricity,no_of_orbits,Remnant_spin_hor,Calculated_Spin,Deviation_from_Horizon,Error_Estimate,Max_Error(Magnitutde),Max_Error_Source,Remnant_Mass_Hor,Remnant_Mass_Calc,Deviation_from_Horizon,Error_Estimate,Max_Error,Max_Error_Source,Kick(km/s),Total_Error(km/s),Max_Error,Max_Error_Source,V_mode(km/s),V_trunc(km/s),V_extrap(km/s),V_junk(km/s),V_downsample(km/s)
d18.0_q1.0_s0_0_0_s0_0_0/Lev5,SXS:BBH:0001,1.000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.00027,28.1191,0.6865,0.6876,0.0011,0.0135*,0.0128,Extrapolation,0.9516,0.9517,0.0000,0.0005*,0.0005,Extrapolation,0.000322,0.000090*,0.000071,Extrapolation,0.000003,-,0.000071,0.000055,0.000001
d19.0_q1.0_s0_0_0_s0_0_0/Lev6,SXS:BBH:0002,1.000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.00017,32.4211,0.6864,0.6805,0.0059,0.0110,0.0083,Extrapolation,0.9516,0.9500,0.0059,0.0015,0.0013,Truncation,0.000759,0.000534,0.000503,Truncation,0.000013,0.000503,0.000171,0.000050,0.000001
d19.0_q1.0_s0.5_0_0_s0_0_0/Lev5,SXS:BBH:0003,1.000,0.4966,0.0527,-0.0003,0.0000,0.0000,0.0000,0.00028,32.3376,0.6947,0.6964,0.0017,0.0143*,0.0141,Extrapolation,0.9511,0.9512,0.0001,0.0005*,0.0005,Extrapolation,658.092908,11.345928*,11.329389,Extrapolation,0.029571,-,11.329389,0.396425,0.465847
d19.0_q1.0_s0_0_-0.5_s0_0_0/Lev5,SXS:BBH:0004,1.000,0.0000,-0.0000,-0.4995,-0.0000,-0.0000,0.0000,0.00037,30.2060,0.6081,0.6094,0.0013,0.0136*,0.0129,Extrapolation,0.9577,0.9577,0.0000,0.0004*,0.0004,Extrapolation,118.139630,0.171092*,0.137626,Extrapolation,0.017376,-,0.137626,0.083201,0.055742
d18.0_q1.0_s0_0_0.5_s0_0_0/Lev5,SXS:BBH:0005,1.000,-0.0000,0.0000,0.4995,-0.0000,-0.0000,0.0000,0.00025,30.1902,0.7607,0.7623,0.0016,0.0149*,0.0139,Extrapolation,0.9439,0.9440,0.0001,0.0006*,0.0006,Extrapolation,96.690110,0.656791*,0.642737,Junk Radiation,0.000477,-,0.128163,0.642737,0.042857
d16.0_q1.345_s0.25_0.12_-0.16_s0.1_0.05_-0.1/Lev5,SXS:BBH:0006,1.345,0.2340,0.1477,-0.1611,0.0911,0.0640,-0.1010,0.00025,20.0781,0.6356,0.6360,0.0004,0.0093*,0.0088,Extrapolation,0.9565,0.9565,0.0001,0.0003*,0.0003,Extrapolation,556.904971,4.192254*,4.179548,Extrapolation,0.001471,-,4.179548,0.089086,0.313744
d18.0_q1.0_s0_0_0_s0_0_0F4/Lev5,SXS:BBH:0074,1.000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.01908,26.2282,0.6866,0.6877,0.0011,0.0160*,0.0138,Extrapolation,0.9516,0.9516,0.0000,0.0006*,0.0006,Extrapolation,0.000258,0.000088*,0.000086,Extrapolation,0.000004,-,0.000086,0.000019,0.000001
d14.0_q1.5_s0_0_0.5_s0_0_0/Lev5,SXS:BBH:0009,1.500,-0.0000,0.0000,0.4995,-0.0000,-0.0000,0.0000,<1.1e-04,17.0955,0.7816,0.7816,0.0001,0.0106*,0.0082,Extrapolation,0.9446,0.9445,0.0001,0.0005*,0.0004,Extrapolation,77.680225,9.573806*,8.152676,Extrapolation,0.013989,-,8.152676,5.012584,0.255827
d16.0_q1.5_s0.25_0_0.433_s0_0_0/Lev6,SXS:BBH:0011,1.500,0.2481,0.0256,0.4328,0.0000,0.0000,0.0000,0.00005,23.4215,0.7698,0.7709,0.0011,0.0111,0.0106,Extrapolation,0.9459,0.9459,0.0011,0.0005,0.0005,Extrapolation,620.084799,4.445183,3.515439,Extrapolation,0.008195,2.139940,3.515439,1.632939,0.394252
d16.0_q1.5_s0_0_-0.5_s0_0_0/Lev5,SXS:BBH:0012,1.500,0.0000,-0.0000,-0.4995,-0.0000,-0.0000,0.0000,0.00007,19.0781,0.5404,0.5411,0.0007,0.0108*,0.0081,Extrapolation,0.9626,0.9627,0.0000,0.0004*,0.0003,Extrapolation,235.607546,9.800575*,8.235935,Junk Radiation,0.032354,-,5.304381,8.235935,0.288331
d16.0_q1.5_s0_0_0.5_s0_0_0/Lev5,SXS:BBH:0013,1.500,-0.0000,-0.0000,0.4995,0.0000,-0.0000,0.0000,0.00014,23.7549,0.7814,0.7820,0.0006,0.0111*,0.0105,Extrapolation,0.9446,0.9445,0.0001,0.0005*,0.0005,Extrapolation,79.995593,8.377272*,8.258352,Extrapolation,0.005971,-,8.258352,1.398921,0.145927
d16.0_q1.5_s0.5_0_0_s0_-0.5_0/Lev5,SXS:BBH:0023,1.500,0.4968,0.0510,0.0006,0.0772,-0.4891,0.0004,0.00027,21.4720,0.6842,0.6853,0.0011,0.0107,0.0101,Extrapolation,0.9535,0.9537,0.0011,0.0006,0.0004,Truncation,977.085865,41.299528,40.814714,Truncation,0.002554,40.814714,5.829348,2.285049,0.779370
d14.0_q3.0_s0_0_0.5_s-0.5_0_0Ecc9em4/Lev5,SXS:BBH:0104,3.000,0.0002,0.0009,0.4995,-0.4741,-0.1570,0.0010,0.00096,21.9343,0.7555,0.7566,0.0011,0.0073*,0.0063,Extrapolation,0.9607,0.9609,0.0001,0.0004*,0.0003,Extrapolation,224.911745,6.393131*,6.318058,Extrapolation,0.301927,-,6.318058,0.887271,0.275411
d15_q1_sA_0_0_0.6_sB_0_0_0.6/Lev3,SXS:BBH:0152,1.000,0.0000,-0.0000,0.6000,-0.0000,0.0000,0.6000,0.00042,22.6479,0.8578,0.8590,0.0012,0.0143,0.0109,Extrapolation,0.9268,0.9270,0.0012,0.0008,0.0008,Extrapolation,0.002520,0.010395,0.010350,Truncation,0.000000,0.010350,0.000959,0.000022,0.000001
d15_q1_sA_0_0_-0.9_sB_0_0_-0.9/Lev4,SXS:BBH:0159,1.000,0.0000,0.0000,-0.8996,-0.0000,-0.0000,-0.8996,0.00056,12.6690,0.3927,0.3931,0.0003,0.0067*,0.0053,Extrapolation,0.9679,0.9679,0.0001,0.0003*,0.0003,Extrapolation,0.002204,0.001580*,0.001567,Extrapolation,0.000002,-,0.001567,0.000195,0.000027
d13_q6_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0166,6.000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,<4.4e-05,21.5589,0.3725,0.3727,0.0003,0.0025*,0.0018,Junk Radiation,0.9855,0.9855,0.0000,0.0001*,0.0001,Extrapolation,114.287857,0.616380*,0.550563,Extrapolation,0.168030,-,0.550563,0.191931,0.108322
d13_q4_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0167,4.000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,<9.9e-05,15.5908,0.4716,0.4719,0.0004,0.0052*,0.0037,Extrapolation,0.9779,0.9780,0.0001,0.0002*,0.0002,Extrapolation,155.688544,0.976539*,0.947959,Extrapolation,0.124224,-,0.947959,0.134665,0.146414
d13_q3_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0168,3.000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,<1.1e-04,15.6388,0.5406,0.5410,0.0004,0.0117*,0.0105,Junk Radiation,0.9713,0.9713,0.0001,0.0004*,0.0003,Extrapolation,169.825328,1.426505*,1.053973,Extrapolation,0.035178,-,1.053973,0.948674,0.151118
d13_q2_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0169,2.000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,<1.2e-04,15.6805,0.6234,0.6239,0.0004,0.0097*,0.0072,Extrapolation,0.9612,0.9613,0.0000,0.0004*,0.0004,Extrapolation,147.264971,1.036389*,0.915169,Extrapolation,0.007794,-,0.915169,0.471136,0.120577
BBH_SKS_d15.4_q1_sA_0_0_0.990_sB_0_0_0.990/Lev4,SXS:BBH:0177,1.000,0.0000,0.0000,0.9893,-0.0000,-0.0000,0.9893,0.00126,25.4043,0.9489,0.9358,0.0131,0.0260*,0.0247,Junk Radiation,0.8877,0.8772,0.0105,0.0119*,0.0110,Junk Radiation,0.288760,0.271683*,0.225331,Junk Radiation,0.000011,-,0.147157,0.225331,0.037180
BBH_SKS_d14_q6_sA_0_0_0_sB_0_0_0/Lev4,SXS:BBH:0181,6.000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000576,26.4685,0.3725,0.3113,0.0612,0.0041,0.0029,Junk Radiation,0.9855,0.9854,0.0612,0.0002,0.0001,Junk Radiation,116.575046,4.591480,2.924690,Junk Radiation,0.146061,2.329104,2.623364,2.924690,0.446961
d13_q1_sA_0_0_-0.44_sB_0_0_-0.44/Lev6,SXS:BBH:0171,1.000,-0.0012,-0.0012,-0.4376,0.0012,0.0012,-0.4376,<1.3e-04,10.5591,0.5479,0.8591,0.3113,0.0034,0.0031,Junk Radiation,2.1596,2.1983,0.3113,0.0005,0.0004,Extrapolation,0.052590,0.105451,0.105441,Truncation,0.000062,0.105441,0.000006,0.001382,0.000185
d13_q1_sA_0_0_0.44_sB_0_0_0.44/Lev6,SXS:BBH:0170,1.000,-0.0008,-0.0008,0.4365,0.0008,0.0008,0.4365,<1.3e-4,15.5294,0.8140,1.3118,0.4978,0.0046,0.0041,Junk Radiation,2.1010,2.1708,0.4978,0.0008,0.0007,Extrapolation,0.120244,0.270196,0.270166,Truncation,0.000052,0.270166,0.003112,0.002464,0.000467
