Name,Alt_name,q,S1x,S1y,S1z,S2x,S2y,S2z,relaxed_eccentricity,no_of_orbits,Remnant_spin_hor,Calculated_Spin,Deviation_from_Horizon,Error_Estimate,Max_Error(Magnitutde),Max_Error_Source,Remnant_Mass_Hor,Remnant_Mass_Calc,Deviation_from_Horizon,Error_Estimate,Max_Error,Max_Error_Source,Kick(km/s),Total_Error(km/s),Max_Error,Max_Error_Source,V_mode(km/s),V_trunc(km/s),V_extrap(km/s),V_junk(km/s),V_downsample(km/s)
d18.0_q1.0_s0_0_0_s0_0_0/Lev5,SXS:BBH:0001,1,0,0,0,0,0,0,0.00027,28.1191,0.6865,0.6919,0.0054,,0.0124,Extrapolation,0.9516,0.9517,0.0001,0.0005*,0.0005,Extrapolation,0.000267,0.000134*,0.000122,Extrapolation,0,-,0.000122,0.000055,0
d19.0_q1.0_s0_0_0_s0_0_0/Lev6,SXS:BBH:0002,1,0,0,0,0,0,0,0.00017,32.4211,0.6864,0.684,0.0024,,0.008,Extrapolation,0.9516,0.9501,0.0015,0.0015,0.0013,Truncation,0.00071,0.000486,0.000457,Truncation,0,0.000457,0.000156,0.00005,0
d19.0_q1.0_s0.5_0_0_s0_0_0/Lev5,SXS:BBH:0003,1,0.4966,0.0527,-0.0003,0,0,0,0.00028,32.3376,0.6947,0.6985,0.0038,,0.0138,Extrapolation,0.9509,0.951,0.0001,0.0005*,0.0005,Extrapolation,657.841,11.278138*,11.261868,Extrapolation,0.00462,-,11.261868,0.396512,0.457677
d19.0_q1.0_s0_0_-0.5_s0_0_0/Lev5,SXS:BBH:0004,1,0,0,-0.4995,0,0,0,0.00037,30.206,0.6081,0.6132,0.0051,,0.0125,Extrapolation,0.9575,0.9575,0.0001,0.0004*,0.0004,Extrapolation,118.083517,0.194980*,0.167435,Extrapolation,0.000225,-,0.167435,0.08322,0.05529
d18.0_q1.0_s0_0_0.5_s0_0_0/Lev5,SXS:BBH:0005,1,0,0,0.4995,0,0,0,0.00025,30.1902,0.7607,0.7673,0.0066,,0.0134,Extrapolation,0.9437,0.9438,0.0002,0.0006*,0.0006,Extrapolation,97.35521,0.925405*,0.663411,Extrapolation,0.000094,-,0.663411,0.642885,0.054403
d16.0_q1.345_s0.25_0.12_-0.16_s0.1_0.05_-0.1/Lev5,SXS:BBH:0006,1.345,0.234,0.1477,-0.1611,0.0911,0.064,-0.101,0.00025,20.0781,0.6356,0.6391,0.0034,,0.0085,Extrapolation,0.9565,0.9565,0,0.0003*,0.0003,Extrapolation,556.843539,4.284310*,4.272188,Extrapolation,0.001341,-,4.272188,0.089091,0.309494
d18.0_q1.0_s0_0_0_s0_0_0F4/Lev5,SXS:BBH:0074,1,0,0,0,0,0,0,0.01908,26.2282,0.6866,0.6957,0.0091,,0.0131,Extrapolation,0.9516,0.9518,0.0002,0.0006*,0.0005,Extrapolation,0.000239,0.000093*,0.000091,Extrapolation,0,-,0.000091,0.000019,0
d14.0_q1.5_s0_0_0.5_s0_0_0/Lev5,SXS:BBH:0009,1.5,0,0,0.4995,0,0,0,<1.1e-04,17.0955,0.7816,0.788,0.0064,,0.0078,Extrapolation,0.9443,0.9444,0.0001,0.0005*,0.0004,Extrapolation,72.687608,9.011387*,7.486643,Extrapolation,0.011124,-,7.486643,5.013962,0.123839
d16.0_q1.5_s0.25_0_0.433_s0_0_0/Lev6,SXS:BBH:0011,1.5,0.2481,0.0256,0.4328,0,0,0,0.00005,23.4215,0.7698,0.7738,0.004,,0.0103,Extrapolation,0.9456,0.9458,0.0001,0.0005,0.0005,Extrapolation,621.884736,3.892907,3.256449,Extrapolation,0.014904,1.301625,3.256449,1.633377,0.433472
d16.0_q1.5_s0_0_-0.5_s0_0_0/Lev5,SXS:BBH:0012,1.5,0,0,-0.4995,0,0,0,0.00007,19.0781,0.5404,0.5479,0.0075,,0.0077,Extrapolation,0.9624,0.9626,0.0002,0.0004*,0.0003,Extrapolation,227.433647,8.828399*,8.238182,Junk Radiation,0.009659,-,3.171895,8.238182,0.10947
d16.0_q1.5_s0_0_0.5_s0_0_0/Lev5,SXS:BBH:0013,1.5,0,0,0.4995,0,0,0,0.00014,23.7549,0.7814,0.7853,0.0039,,0.0102,Extrapolation,0.9443,0.9444,0,0.0005*,0.0005,Extrapolation,78.618085,7.665132*,7.535264,Extrapolation,0.014341,-,7.535264,1.399303,0.125656
d16.0_q1.5_s0.5_0_0_s0_-0.5_0/Lev5,SXS:BBH:0023,1.5,0.4968,0.051,0.0006,0.0772,-0.4891,0.0004,0.00027,21.472,0.6842,0.688,0.0038,,0.0098,Extrapolation,0.9533,0.9537,0.0003,0.0006,0.0004,Truncation,974.991766,42.475022,42.020464,Truncation,0.017462,42.020464,5.7144,2.285497,0.727991
d14.0_q3.0_s0_0_0.5_s-0.5_0_0Ecc9em4/Lev5,SXS:BBH:0104,3,0.0002,0.0009,0.4995,-0.4741,-0.157,0.001,0.00096,21.9343,0.7555,0.76,0.0045,,0.0061,Extrapolation,0.9603,0.9605,0.0003,0.0004*,0.0004,Extrapolation,224.127512,6.041101*,5.963709,Extrapolation,0.279255,-,5.963709,0.887679,0.251238
d15_q1_sA_0_0_0.6_sB_0_0_0.6/Lev3,SXS:BBH:0152,1,0,0,0.6,0,0,0.6,0.00042,22.6479,0.8578,0.8682,0.0104,,0.0105,Extrapolation,0.9268,0.9271,0.0003,0.0008,0.0008,Extrapolation,0.002542,0.010324,0.010276,Truncation,0,0.010276,0.000998,0.000022,0.000002
d15_q1_sA_0_0_-0.9_sB_0_0_-0.9/Lev4,SXS:BBH:0159,1,0,0,-0.8996,0,0,-0.8996,0.00056,12.669,0.3927,0.3971,0.0043,,0.005,Extrapolation,0.9678,0.9678,0,0.0003*,0.0003,Extrapolation,0.00201,0.001674*,0.001663,Extrapolation,0.000001,-,0.001663,0.000195,0.000001
d13_q6_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0166,6,0,0,0,0,0,0,<4.4e-05,21.5589,0.3725,0.3746,0.0021,,0.0018,Junk Radiation,0.9855,0.9856,0.0001,0.0001*,0.0001,Extrapolation,114.479886,0.694142*,0.63554,Extrapolation,0.172232,-,0.63554,0.191931,0.106865
