Name,Alt_name,q,S1x,S1y,S1z,S2x,S2y,S2z,Remnant_Sx_Hor,Remnant_Sy_Hor,Remnant_Sz_Hor,Sx_Calc,Sy_Calc,Sz_Calc,Max_Error(Magnitutde),Max_Error_Source,Remnant_Mass_Hor,Remnant_Mass_Calc,Max_Error,Max_Error_Source,V_mode(km/s),V_trunc(km/s),V_extrap(km/s),V_junk(km/s),V_downsample(km/s),Kick(km/s),Total_Error(km/s)
d18.0_q1.0_s0_0_0_s0_0_0/Lev5,SXS:BBH:0001,1.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.622,0.000,-0.000,0.623,0.011604,Extrapolation,0.951609,0.951654,0.000510,Extrapolation,0.000003,-,0.000071,0.000055,0.000001,0.000322,0.000131
d19.0_q1.0_s0_0_0_s0_0_0/Lev6,SXS:BBH:0002,1.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.622,0.000,-0.000,0.616,0.007554,Extrapolation,0.951610,0.950043,0.001345,Truncation,0.000013,0.000503,0.000171,0.000050,0.000001,0.000759,0.000737
d19.0_q1.0_s0.5_0_0_s0_0_0/Lev5,SXS:BBH:0003,1.000,0.125,-0.000,-0.000,0.000,0.000,-0.000,0.060,0.009,0.625,0.060,0.009,0.627,0.012787,Extrapolation,0.951083,0.951170,0.000483,Extrapolation,0.029571,-,11.329389,0.396425,0.465847,658.092908,12.221233
d19.0_q1.0_s0_0_-0.5_s0_0_0/Lev5,SXS:BBH:0004,1.000,-0.000,0.000,-0.125,-0.000,0.000,0.000,-0.000,-0.000,0.558,0.000,0.000,0.559,0.011875,Extrapolation,0.957706,0.957698,0.000426,Extrapolation,0.017376,-,0.137626,0.083201,0.055742,118.139630,0.293946
d18.0_q1.0_s0_0_0.5_s0_0_0/Lev5,SXS:BBH:0005,1.000,0.000,-0.000,0.125,0.000,-0.000,0.000,-0.000,-0.000,0.678,0.000,0.000,0.679,0.012365,Extrapolation,0.943885,0.943966,0.000557,Extrapolation,0.000477,-,0.128163,0.642737,0.042857,96.690110,0.814234
d16.0_q1.345_s0.25_0.12_-0.16_s0.1_0.05_-0.1/Lev5,SXS:BBH:0006,1.345,0.082,0.039,-0.053,0.018,0.009,-0.018,0.047,0.028,0.579,0.047,0.028,0.579,0.008015,Extrapolation,0.956545,0.956480,0.000334,Extrapolation,0.001471,-,4.179548,0.089086,0.313744,556.904971,4.583849
d18.0_q1.0_s0_0_0_s0_0_0F4/Lev5,SXS:BBH:0074,1.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,-0.000,0.622,-0.000,0.000,0.623,0.012493,Extrapolation,0.951602,0.951645,0.000555,Extrapolation,0.000004,-,0.000086,0.000019,0.000001,0.000258,0.000110
d14.0_q1.5_s0_0_0.5_s0_0_0/Lev5,SXS:BBH:0009,1.500,-0.000,0.000,0.180,-0.000,0.000,0.000,-0.000,-0.000,0.697,0.000,0.000,0.697,0.007299,Extrapolation,0.944609,0.944484,0.000438,Extrapolation,0.013989,-,8.152676,5.012584,0.255827,77.680225,13.435076
d16.0_q1.5_s0.25_0_0.433_s0_0_0/Lev6,SXS:BBH:0011,1.500,0.090,-0.000,0.156,0.000,-0.000,0.000,0.053,-0.004,0.687,0.053,-0.004,0.688,0.009477,Extrapolation,0.945887,0.945947,0.000528,Extrapolation,0.008195,2.139940,3.515439,1.632939,0.394252,620.084799,7.690765
d16.0_q1.5_s0_0_-0.5_s0_0_0/Lev5,SXS:BBH:0012,1.500,-0.000,-0.000,-0.180,0.000,0.000,0.000,0.000,0.000,0.501,0.000,0.000,0.501,0.007538,Extrapolation,0.962622,0.962667,0.000326,Extrapolation,0.032354,-,5.304381,8.235935,0.288331,235.607546,13.861001
